Project Code	Process ID	Sample ID	BIN	COI-5P Seq. Length	COI-5P Trace Count	COI-5P Accession	Image Count	Barcode Compliant	Flagged Record	Field ID	Museum ID	Collection Code	Institution Storing	Phylum	Class	Order	Family	Subfamily	Genus	Species	Identifier	Identifier Email	Identification Method	Taxonomy Notes	Sex	Reproduction	Extra Info	Notes	Voucher Status	Tissue Descriptor	Associated Taxa	Associated Specimens	Collectors	Collection Date	Country/Ocean	State/Province	Region	Sector	Exact Site	Lat	Lon	Elev	Elevation Precision	GPS Source	Collection Date Accuracy	Habitat	Sampling Protocol	Collection Notes
ASILO	ASILO014-17	CCDB-31120-B02	BOLD:ADK8952	658[0n]	4.0	MG967970	1	Yes			USNM ENT 00890363	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Apiophorinae	Paramydas	Paramydas igniticornis	USNM Curators				M				Vouchered:Registered Collection	Tissue			Gurney, Barria	02-Dec-1976	Chile	Coquimbo			Los Vilos, 15 km South	-31.9119	-71.5111							
ASILO	ASILO015-17	CCDB-31120-B03	BOLD:ABW3784	658[0n]	4.0	MG968069	1	Yes			USNM ENT 00802947	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Leptomydinae	Phyllomydas	Phyllomydas parvulus	USNM Curators				M				Vouchered:Registered Collection	Tissue			M.Deyrup, N.Deyrup, J.Dunlap, K.Dearborn	17-May-2010	United States	Florida			Fish and Wildlife Consevation Commission, Sunray Preserve	27.6911	-81.5619							
ASILO	ASILO016-17	CCDB-31120-B04	BOLD:ADK8791	658[1n]	4.0	MG968054	1	Yes			USNM ENT 00832159	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Mydinae	Protomydas		USNM Curators				M				Vouchered:Registered Collection	Tissue			J.S.Ascher	25-Feb-2007	Belize	Cayo			Las Cuevas Research Station, trail to Monkey Tail River	16.7328	-88.9858							
ASILO	ASILO017-17	CCDB-31120-B05	BOLD:ADK5363	658[0n]	4.0	MG967872	1	Yes			USNM ENT 00891738	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Mydinae	Stratiomydas	Stratiomydas rufiventris	Meredith E Miller	meredithellenmiller@gmail.com	BIN ID Tree May 2018	|BOLDCurationFrom|Stratiomydas rufiventris|	F				Vouchered:Registered Collection	Tissue			N.Woodley	24-Jun-2007	Nicaragua	Leon			Leon, 19 km East-NorthEast road to Cerro Negro	12.4797	-86.7103	400.0						
ASILO	ASILO018-17	CCDB-31120-B06		307[0n]	4.0	MG967941	1	No			USNM ENT 00832143	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Rhaphiomidinae	Rhaphiomidas	Rhaphiomidas hasbroucki	USNM Curators				M				Vouchered:Registered Collection	Tissue			T.Dikow, E.Fisher	02-May-2008	United States	Arizona			Parker, 8 km South on Route 95	34.0833	-114.26700000000001	157.0						
ASILO	ASILO019-17	CCDB-31120-B07		0[n]	4.0		1	No			USNM ENT 00876332	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Rhopaliinae	Perissocerus		USNM Curators								Vouchered:Registered Collection	Tissue			R.Aalbu	05-Jul-1990	Tunisia				Gabes, 22.5 km North, 4.8 km North junction to Ou Dref -Wadraf	34.0245	9.9888				-3.0	Thorn Bushes		
ASILO	ASILO020-17	CCDB-31120-B08	BOLD:ADK8941	658[0n]	4.0	MG968064	1	Yes			USNM ENT 00832149	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Afroleptomydas	Afroleptomydas suffusipennis	USNM Curators				M				Vouchered:Registered Collection	Tissue			T.Dikow, J.Londt	02-Oct-2009	South Africa	Northern Cape			McDougall`s Bay	-29.2925	16.8803	16.0						
ASILO	ASILO021-17	CCDB-31120-B09	BOLD:ADK9576	627[0n]	4.0	MG968170	1	Yes			USNM ENT 00832070	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Arenomydas	Arenomydas caerulescens	USNM Curators				F				Vouchered:Registered Collection	Tissue			T.Dikow, J.Londt	28-Sep-2009	South Africa	Western Cape			Droe River at R27, 8.5 km Northeast Vanrhynsdorp, South of dry river bed	-31.5639	18.8164	147.0						
ASILO	ASILO022-17	CCDB-31120-B10	BOLD:ADK9457	658[0n]	4.0	MG968230	1	Yes			USNM ENT 00832074	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Cephalocera		USNM Curators				F				Vouchered:Registered Collection	Tissue			T.Dikow, J.Londt	28-Sep-2009	South Africa	Western Cape			Droe River at R27, 8.5 km Northeast Vanrhynsdorp, South of dry river bed	-31.5639	18.8164	147.0						
ASILO	ASILO023-17	CCDB-31120-B11		0[n]	4.0		1	No			USNM ENT 00832026	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Haplomydas	Haplomydas crassipes	USNM Curators				F				Vouchered:Registered Collection	Tissue			P.Forchhammer	30-Apr-1987	Botswana	Central	Central District		Serowe, Farmers Brigade	-22.1661	26.7253				-29.0			
ASILO	ASILO024-17	CCDB-31120-B12	BOLD:ADF8519	658[0n]	4.0	MG967841	1	Yes			USNM ENT 00832925	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Hispanomydas	Hispanomydas hispanicus	USNM Curators				F				Vouchered:Registered Collection	Tissue			J.Almeida	17-Jul-2012	Spain				Andalusia, Almeria, Cabo de Gata	36.8197	-2.7444							
ASILO	ASILO025-17	CCDB-31120-C01	BOLD:ABV3003	658[0n]	4.0	MG968039	1	Yes			USNM ENT 00832029	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Mydaselpis	Mydaselpis ngurumani	USNM Curators				M				Vouchered:Registered Collection	Tissue			R.Copeland	20-Jun-1996	Kenya				Rift Valley, Nguruman	-1.8333	36.9333							
ASILO	ASILO026-17	CCDB-31120-C02	BOLD:ADF9249	631[1n]	4.0	MG968081	1	Yes			USNM ENT 00832167	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Namibimydas	Namibimydas psamminos	USNM Curators				M				Vouchered:Registered Collection	Tissue			T.Dikow	09-Feb-2012	Namibia				Hardap, Namib-Skeleton Coast National Park, Sesriem, Elim Dune	-24.4578	15.7769	826.0						
ASILO	ASILO027-17	CCDB-31120-C03	BOLD:ADK8725	658[0n]	4.0	MG968112	1	Yes			USNM ENT 00832032	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Syllegomydas	Syllegomydas heothinos	USNM Curators				M				Vouchered:Registered Collection	Tissue			R.Copeland	27-May-1999	Kenya				Eastern Province, Kitui at Athi River	-2.6419	38.3664				-3.0			
ASILO	ASILO028-17	CCDB-31120-C04		0[n]	4.0		1	No			USNM ENT 00876224	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Ammophilomima		USNM Curators				F				Vouchered:Registered Collection	Tissue			W.Barkemeyer	12-Mar-1984	Cameroon				Central Region, Eseka, 1 km South Southwest, 85 km West Southwest Yaounde	3.6353	10.7714							
ASILO	ASILO029-17	CCDB-31120-C05	BOLD:ADK8928	658[0n]	4.0	MG967787	1	Yes			USNM ENT 01443000	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Apachekolos	Apachekolos volubilis	A. Scarbrough		Det Label (2006)						Vouchered:Registered Collection	Tissue			D.Perez	21-Aug-2006	Dominican Republic	Peravia			Bani, Cerro Gordo									
ASILO	ASILO030-17	CCDB-31120-C06	BOLD:ADG3191	658[0n]	4.0	MG968110	1	Yes			USNM ENT 00870756	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Beameromyia	Beameromyia disfascia	USNM Curators				F				Vouchered:Registered Collection	Tissue			T.Dikow, M.Thomas, G.Brown, Bayless	16-Jul-2006	United States	Rhode Island			Washington, Town of Exeter, Arcadia Management area, Pratt farm	41.5581	-71.7078	57.0						
ASILO	ASILO031-17	CCDB-31120-C07		0[n]	4.0		1	No			USNM ENT 01205183	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Eurhabdus	Eurhabdus sororius	USNM Curators								Vouchered:Registered Collection	Tissue			D.Perez, R.Bastardo	17-Aug-2006	Dominican Republic	Pedernales			Pedernales, 0.7 km North Cruce Aguas Negras - Mencia	18.1159	-71.7231	326.0						
ASILO	ASILO032-17	CCDB-31120-C08	BOLD:ADK9514	658[0n]	4.0	MG968178	1	Yes			USNM ENT 01088589	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Euscelidia		USNM Curators				M				Vouchered:Registered Collection	Tissue			R.Copeland	07-Apr-2005	Kenya		Lake Victoria	Homa Bay	Ungoye Field Station	-0.6153	34.0919	1147.0						
ASILO	ASILO033-17	CCDB-31120-C09	BOLD:ABA8881	658[0n]	4.0	MG967819	1	Yes			USNM ENT 01097848	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Lasiocnemus	Lasiocnemus londti	USNM Curators				M				Vouchered:Registered Collection	Tissue				06-Sep-1999	Kenya				Kwale, Muhaka Forest	-4.3244	39.5242				-5.0			
ASILO	ASILO034-17	CCDB-31120-C10	BOLD:ADK9938	658[0n]	4.0	MG967928	1	Yes			USNM ENT 00876210	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lobus		USNM Curators				F				Vouchered:Registered Collection	Tissue			W.Barkemeyer	04-Nov-2003	Madagascar				Fianarantsoa, Ramanofana Umgebung, 10 km Southwest, Vohiparara	-21.2272	47.3692	1150.0						
ASILO	ASILO035-17	CCDB-31120-C11	BOLD:ADK9061	658[0n]	4.0	MG967886	1	Yes			USNM ENT 00876199	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Mesoleptogaster		USNM Curators				F				Vouchered:Registered Collection	Tissue			W.Barkemeyer	13-Oct-1998	Ghana				Central Region, Cape Coast, Nakum National Park	5.4167	-1.3175							
ASILO	ASILO036-17	CCDB-31120-C12	BOLD:ACT0086	658[0n]	4.0	MG967912	1	Yes			USNM ENT 01234547	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Psilonyx	Psilonyx annulatus	USNM Curators								Vouchered:Registered Collection	Tissue			E.Benton	19-Jun-2004	United States	Alabama			Baldwin, North Delta (site 25)	31.13	-87.85							
ASILO	ASILO037-17	CCDB-31120-D01		0[n]	4.0		1	No			USNM ENT 00890342	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Schildia	Schildia fragilis	T. Dikow		Det Label (2007)	additional identifier: K. Bayless					Vouchered:Registered Collection	Tissue			A.Freidberg	06-Sep-1988	Peru		Madre de Dios		Mani, Erika (Near Salvacion)			550.0			-1.0			
ASILO	ASILO038-17	CCDB-31120-D02	BOLD:ADK9993	658[0n]	4.0	MG968221	1	Yes			USNM ENT 01242695	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Damalina		USNM Curators				F				Vouchered:Registered Collection	Tissue			S.W.Lingafelter	27-Jun-2011	Vietnam	Vinh Phuc			Tam Dao National Park	21.4735	105.647	955.0			-14.0			
ASILO	ASILO039-17	CCDB-31120-D03	BOLD:ADK8897	658[0n]	4.0	MG967931	1	Yes			USNM ENT 01242799	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Damalis	Damalis saigonensis	USNM Curators								Vouchered:Registered Collection	Tissue			E.Jendek, O.Sausa	18-Apr-1999	Laos	Champasak			Bolaven Plateau, Route (23) Pakse - Paksong, Ban Itou environs (kilometer 35)	15.1733	106.09700000000001	800.0			-8.0			
ASILO	ASILO040-17	CCDB-31120-D04		407[0n]	4.0	MG967789	1	No			USNM ENT 00870637	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Haplopogon		USNM Curators				F				Vouchered:Registered Collection	Tissue			T.Dikow, E.Fisher	20-Apr-2008	United States	Arizona			Maricopa, Robins Butte Wildlife Area, 1.6 km West of Route 85	33.3164	-112.63799999999999	245.0						
ASILO	ASILO041-17	CCDB-31120-D05		508[3n]	4.0	MG968031	1	Yes			USNM ENT 01243560	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Holcocephala	Holcocephala abdominalis	USNM Curators				M				Vouchered:Registered Collection	Tissue			D.Perez	23-Jul-2006	United States	Maryland			Frederick, Frederick Municipal Forest, Gambrill Park Road, approximately 3.5 miles North of South Junction with Mountaindale Road	39.5686	-77.4567	445.0						
ASILO	ASILO042-17	CCDB-31120-D06	BOLD:ADK9299	658[0n]	4.0	MG967942	1	Yes			USNM ENT 01097272	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Rhipidocephala		USNM Curators								Vouchered:Registered Collection	Tissue				18-May-1997	Kenya				Kajiado,Magadi Road, Hannah`s	-1.4031	36.7192							
ASILO	ASILO043-17	CCDB-31120-D07		0[n]	4.0		1	No			USNM ENT 01371341	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Trigonomima	Trigonomima anamaliensis	USNM Curators				F				Vouchered:Registered Collection	Tissue			Mathis, A.Friedberg	06-Apr-1980	India	Karnataka			Mudigere	13.1342	75.6417	970.0						
ASILO	ASILO044-17	CCDB-31120-D08		0[n]	4.0		1	No			USNM ENT 01443001	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius persuasus	A. Scarbrough		Det Label (2005)	BOLD_Curation_from_Afroestricus persuasus|				S.W.Bromley Collection 1955|USNM Collection	Vouchered:Registered Collection	Tissue			C.Lamberton	01-May-1937	Madagascar				Oriental Forest District, Tanovana between Tamatave and Tananarive									
ASILO	ASILO045-17	CCDB-31120-D09	BOLD:ADG3359	658[0n]	4.0	MG968048	1	Yes			USNM ENT 00914725	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Cophinopoda	Cophinopoda pulchripes	USNM Curators				F				Vouchered:Registered Collection	Tissue			L.Guidry	08-Nov-1993	Madagascar	Fianarantsoa			Ankaramerakana, 30 km South Ambosita on Highway 7	-20.7428	47.1808							
ASILO	ASILO046-17	CCDB-31120-D10		0[n]	4.0		1	No			USNM ENT 01443002	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius spinalis	A. Scarbrough		Det Label (2005)	BOLD_Curation_from_Emphysomera spinalis|					Vouchered:Registered Collection	Tissue			R.S.Copeland	11-Mar-1998	Kenya				Ngurman	-1.8667	36.0667					Acacia woodlands		
ASILO	ASILO047-17	CCDB-31120-D11	BOLD:ADG0522	658[0n]	4.0	MG968086	1	Yes			USNM ENT 01443003	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Longibeccus	Longibeccus fuscovittatus	Meredith E Miller	meredithellenmiller@gmail.com	BIN ID Tree May 2018	|BOLD_Curation_from_Longibeccus fuscovittatus|					Vouchered:Registered Collection	Tissue			R.Copeland	10-May-2000	Kenya	Eastern			Kibwesi Forest	-20.465	37.9152				-7.0		Malaise Trap	
ASILO	ASILO048-17	CCDB-31120-D12		0[n]	4.0		1	No			USNM ENT 01265101	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius dilatipennis	A. Scarbrough		Det Label (No Date)	BOLD_Curation_from_Merodontina dilatipennis|				C.F.Baker Collection 1927|Date inferred from C.F. Baker Collection	Vouchered:Registered Collection	Tissue			C.F.Baker	31-Dec-1927	Philippines				Island Biliran	4.3245	39.5242				-364.0		Malaise Trap	
ASILO	ASILO049-17	CCDB-31120-E01	BOLD:ABV5704	658[0n]	4.0	MG967807	1	Yes			USNM ENT 01443005	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius politus	A. Scarbrough		Det Label (2009)	BOLD_Curation_from_Metommatius politus|					Vouchered:Registered Collection	Tissue			R.Copeland	29-Dec-1999	Kenya		Coast Province		Muhaka Forest						-7.0			
ASILO	ASILO050-17	CCDB-31120-E02		273[0n]	4.0	MG968132	1	No			USNM ENT 01443006	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Michotamia	Michotamia aurata	A. Scarbrough		Det Label (No Date)						Vouchered:Registered Collection	Tissue			K.V.Krombein, P.B.Karunaratne, T.Wijesinhe, S. Siriwardane, T.Gunawardane	20-Jan-1979	Sri Lanka				Hambantota, Palatupana Tank			10.0	5.0		-2.0		Malaise Trap	
ASILO	ASILO051-17	CCDB-31120-E03	BOLD:ADL2346	658[0n]	4.0	MG967858	1	Yes			USNM ENT 01443007	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Pseudomerodontina	Pseudomerodontina alata	USNM Curators						Paratype		Museum Vouchered:Type Series	Tissue			K.V.Krombein, P.B.Karunaratne, T.Wijesinhe, S. Siriwardane, T.Gunawardane	09-Jul-1978	Sri Lanka				Colombo, Mirigama Scout Camp						-1.0	Primary Jungle		
ASILO	ASILO052-17	CCDB-31120-E04	BOLD:ADK8376	658[0n]	4.0	MG967975	1	Yes			USNM ENT 01443008	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Pygommatius	Pygommatius dasypogon	A. Scarbrough		Det Label (2005)						Vouchered:Registered Collection	Tissue			R.S.Copeland	28-Nov-2004	Kenya	Nyanza			Rusinga Island	-0.3873	34.1833				-7.0		Malaise Trap	
ASILO	ASILO053-17	CCDB-31120-E05		305[0n]	4.0	MG967863	1	No			USNM ENT 01372681	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Tillobromatinae	Alyssomyia	Alyssomyia brevicornis	USNM Curators				F				Vouchered:Registered Collection	Tissue			M.Aguirre	10-Jan-1967	Chile				Valparaiso, El Salto	-33.0442	-71.5206							
ASILO	ASILO054-17	CCDB-31120-E06		0[n]	4.0		1	No			USNM ENT 01372695	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Tillobromatinae	Hypenetes	Hypenetes stigmatias	USNM Curators				F				Vouchered:Registered Collection	Tissue			H.Brauns	09-Sep-1926	South Africa	Western Cape			Stellenbosch	-33.92	18.86							
ASILO	ASILO055-17	CCDB-31120-E07		299[4n]	4.0	MG967917	1	No			USNM ENT 01372713	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Tillobromatinae	Hypenetes	Hypenetes digitatus	USNM Curators			BOLD_Curation_from_Tillobroma digitata|	M				Vouchered:Registered Collection	Tissue			P.Berry	09-Feb-1941	Chile		Malleco		Angol	-37.8	-72.72							
ASILO	ASILO056-17	CCDB-31120-E08		311[0n]	4.0	MG967820	1	No			USNM ENT 00832794	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Bathypogoninae	Bathypogon		USNM Curators				M				Vouchered:Registered Collection	Tissue			T.Dikow	11-Dec-2011	Australia	Western Australia			Koondoola Regional Bushland	-31.8431	115.874	43.0						
ASILO	ASILO057-17	CCDB-31120-E09		0[n]	4.0		1	No			USNM ENT 01443009	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Phellinae	Phellus	Phellus glaucus	S. W. Bromley		Det Label (No Date)					S.W. Bromley Collection 1955	Vouchered:Registered Collection	Tissue			H.Hacker	31-Dec-1921	Australia	Queensland			Bribie Island						-30.0			
ASILO	ASILO058-17	CCDB-31120-E10		407[1n]	4.0	MG968159	1	No			USNM ENT 00870516	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Ablautus	Ablautus rufotibialis	T. Dikow		Det Label (2012)						Vouchered:Registered Collection	Tissue			J.Friedman	22-Mar-2012	United States	New Mexico	Rio Arriva County		Espanola	35.9908	-106.08							
ASILO	ASILO059-17	CCDB-31120-E11	BOLD:ADF9993	658[0n]	4.0	MG968142	1	Yes			USNM ENT 00870065	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Willistonininae	Acnephalomyia	Acnephalomyia dorsalis	USNM Curators				F				Vouchered:Registered Collection	Tissue			T.Dikow, J.Londt	29-Sep-2009	South Africa	Western Cape			6 km Southeast Lutzville R363 (near turnoff to Klipheuwel)	-31.5953	18.3819	40.0						
